EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
69.9974,9.971622,9.933195,12.8425
72.6283,9.948472,9.900747,12.65891
74.83287,9.931071,9.856405,12.38266
76.90598,9.960443,9.800325,12.22225
78.17733,10.08786,9.628408,12.16693
79.09708,10.16001,9.630342,12.33808
79.85885,10.2296,9.546974,12.67167
80.00867,10.35933,9.659201,13.56393
80.23985,10.36816,9.529644,14.71421
79.97934,10.33016,9.470005,16.06109
80.12814,10.38128,9.468737,17.41763
80.21479,10.28431,9.515665,18.40527
80.91386,10.18986,9.617682,18.82721
81.86594,10.15199,9.741875,18.92871
83.06207,10.06931,9.72648,18.55611
85.35784,9.908753,9.814026,17.98423
88.39478,9.96734,9.785948,17.19691
92.76147,9.98035,9.75923,16.53841
100.2734,10.02435,9.610151,15.87892
111.2732,9.993072,9.572437,15.30102
129.5123,10.07672,9.480206,15.18724
159.4942,10.09955,9.51306,14.87942
202.4525,10.13962,9.659208,14.79099
258.2606,10.29462,9.802856,14.74419
319.0791,10.3148,9.926071,14.78506
380.6234,10.35294,10.09423,14.98262
434.3946,10.4713,10.0976,15.24573
474.1948,10.56896,10.13376,15.4769
496.6637,10.65918,10.23769,15.71177
499.2065,10.76709,10.32686,15.86914
485.083,10.92483,10.36957,16.27771
460.3896,11.07254,10.50949,16.55904
427.2648,11.28786,10.67003,16.70328
391.7967,11.42575,10.76194,16.71489
351.8622,11.60087,10.92657,16.80739
313.5379,11.59437,10.99756,17.01824
275.9799,11.60298,10.98408,17.3671
241.4358,11.7064,11.05851,17.58385
210.9331,11.72516,11.12185,17.83146
184.3872,11.83595,11.14907,18.20239
161.9705,11.85845,11.161,18.73627
143.8161,11.88894,11.24844,19.18341
128.2083,11.98394,11.35561,19.55508
116.2876,11.92068,11.41275,19.77447
106.7961,11.98762,11.67958,20.17738
100.4204,11.99987,11.83119,20.66002
95.38192,12.25232,11.94069,21.12204
93.35226,12.50192,12.1393,21.33216
92.64267,12.65767,12.25508,21.5974
94.22371,12.8989,12.28102,21.98378
96.90433,13.05281,12.20675,22.46547
102.3827,13.04812,12.18491,22.762
110.2861,12.88071,12.11714,23.06602
122.4735,12.56972,12.12909,23.43857
141.3798,12.41337,12.35156,23.87693
170.7986,12.3411,12.39214,24.2711
210.9362,12.45659,12.46598,24.5504
259.3776,12.46012,12.64775,24.56255
