EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
0.9952097,325.7329,131.8646,29.26852,45.01274,162.5905,329.1426,288.8562,0,24.5232
0.8940001,319.1247,126.4174,29.81069,52.20839,153.6689,362.3672,272.9112,0,27.70474
0.725214,308.2797,122.289,30.58324,60.02296,146.0946,394.5816,254.0304,0,30.92262
0.6926012,292.9162,119.3058,31.53355,68.42796,139.9588,426.7632,233.3793,0,34.19392
0.6888208,273.2369,117.0769,32.85477,77.384,135.154,455.0548,212.4292,0,37.62637
0.7387056,250.6581,115.5469,34.45452,87.05727,131.755,479.6147,191.5471,0.02163363,41.25616
0.8532467,226.1416,114.2527,36.18032,97.40665,129.2093,499.0013,172.192,0,44.98217
0.7408857,200.0785,113.3113,38.33056,108.459,128.0807,515.7493,154.5035,0.02987528,49.00508
0.7472887,173.8438,112.5598,40.94387,120.0569,128.1701,528.6068,139.3067,0.0518589,53.24276
0.8692646,148.6615,111.8651,43.86752,132.5759,128.9596,534.7542,126.0784,0,57.66932
1.168772,126.4474,111.6442,47.23083,145.9158,131.2329,537.426,116.14,0,62.2663
1.190784,106.6524,111.5082,50.84972,159.1419,134.7691,532.7922,109.1169,0.001300335,67.12715
1.200372,89.56512,111.4574,54.90417,172.5515,139.3567,523.072,104.751,0.02668476,72.14954
1.114477,75.54182,111.5796,59.30025,186.3945,145.1927,508.0464,103.2487,0.03025007,77.62216
0.9727325,64.08896,111.7821,64.02631,199.9295,152.1274,485.598,104.0284,0,83.54392
0.8234692,54.71462,112.038,69.12149,212.6154,159.9097,459.9357,107.2784,0,89.73462
0.8036432,47.52449,112.4262,74.53939,224.5065,168.9789,430.9752,113.2178,0,96.30543
0.7431259,42.04736,113.0864,80.40491,234.9691,179.3074,401.9393,121.1799,0,103.2316
0.7612772,37.7654,113.9205,86.44908,243.7077,190.7854,371.902,131.2099,0,110.4549
1.037474,34.39097,114.9042,92.83578,251.133,203.1536,341.0215,143.8838,0,118.3818
1.257266,31.88604,116.1042,99.26779,256.2253,216.4964,313.0303,159.5454,0,126.9999
1.272376,30.00171,117.2968,105.8478,258.1145,230.1736,284.8514,177.622,0,135.9427
1.354032,28.44769,118.6926,112.4555,257.2892,243.6383,258.5996,198.7005,0,145.7959
1.327152,27.26049,120.2028,118.9724,253.5961,256.784,233.1954,222.344,0,156.0838
1.441128,26.22314,121.7225,125.4451,246.8831,269.0714,210.5036,248.6095,0,167.6968
1.437162,25.08688,123.1221,131.7689,237.29,280.267,190.7323,277.8381,0,179.6383
1.53565,24.18127,124.8065,137.9161,225.6154,291.2045,173.3647,308.1843,0,192.5384
1.483832,23.24268,126.6753,143.8241,212.0313,301.2352,158.8466,341.0688,0,206.0966
1.313531,22.17263,128.468,148.8571,197.6071,309.2442,146.4149,376.4157,0,219.4972
1.350208,21.20711,130.4273,153.4382,183.2241,315.9835,136.3674,413.3858,0,233.3076
1.262451,20.2724,132.4495,156.9413,169.1804,321.5257,128.7709,451.5525,0,246.5757
1.230331,19.51624,134.5567,159.4855,155.95,324.25,121.989,489.5347,0,258.0624
1.182846,18.83567,136.7956,161.5316,143.996,325.9197,116.8712,529.3087,0,268.9487
1.293417,18.24952,138.9998,162.6945,133.5218,326.0759,112.4034,566.3729,0,277.2295
