EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
1.43209,75.43113,83.93158,7.709873,108.1191,65.60561,67.57231,84.03887,153.4998,665.8429
1.565934,75.54755,82.68764,7.774095,116.2473,65.62097,67.71191,81.86357,169.7895,689.1125
1.778693,75.76967,82.00703,7.738721,124.0018,65.74011,68.00291,79.57372,187.2434,706.5474
1.832576,76.12054,81.4256,7.690285,131.7441,65.99026,68.65318,77.36575,206.4066,717.294
1.958308,76.63078,81.22868,7.684803,139.2962,66.32161,69.52304,75.15672,227.2676,720.3508
2.013226,77.03873,81.08221,7.687427,145.9417,66.82207,70.68109,73.08617,248.334,715.434
1.900956,77.39389,81.20997,7.654603,151.7757,67.41333,71.87747,71.16417,271.2387,703.2175
1.976776,77.72212,81.18738,7.551908,156.8215,68.1618,73.3138,69.60597,294.534,686.085
1.942533,78.22244,81.32964,7.624457,160.7568,69.26701,74.96385,68.27633,317.8583,664.9211
2.064632,78.66743,81.53577,7.683169,163.6774,70.80254,76.68213,67.26923,342.4306,643.0397
2.001075,79.02758,81.67287,7.711652,165.3766,72.48945,78.4772,66.68533,366.3511,621.7867
2.192392,79.39546,81.8926,7.775415,166.099,74.55366,80.60196,66.54364,391.0974,602.0544
2.310712,79.69058,82.15653,7.802963,165.4354,76.86417,82.78345,66.86371,415.5757,586.0098
2.362311,79.86662,82.31872,7.792402,163.7991,79.2697,85.13367,67.91006,438.5323,571.0118
2.456297,80.10389,82.7068,7.7881,161.0478,81.87696,87.43298,69.28757,459.935,559.2466
2.468528,80.17649,82.95752,7.816717,157.1324,84.57285,89.66595,70.90084,477.9181,548.2849
2.466484,80.09491,83.20325,7.79311,152.1173,87.20214,91.88573,73.30532,495.0721,540.6581
2.562199,79.88921,83.38216,7.751102,146.3346,89.75579,94.0843,76.01797,509.3519,534.0152
2.688143,79.74097,83.6679,7.77833,139.7614,92.26949,96.23103,78.58908,520.7127,528.5953
2.760905,79.52576,84.0241,7.773695,133.1295,94.88004,98.41052,81.38238,529.0772,524.3992
2.684251,79.21328,84.1119,7.797519,126.1825,97.55188,100.3667,84.17349,534.6595,520.523
2.796084,78.86491,84.17794,7.866726,119.0032,100.0634,102.4878,86.41127,537.5573,517.2711
2.842338,78.40453,84.10972,7.89854,111.6419,102.5616,104.3317,88.41895,537.1497,515.5148
2.957272,77.77705,84.09255,7.917233,104.3338,104.7872,106.28,90.01727,532.9277,512.3031
3.109657,77.26734,84.28857,7.933956,97.07259,107.265,108.2725,91.05951,524.9203,509.6555
3.35411,76.87926,84.49706,7.996673,90.12102,109.7942,110.5327,91.68254,514.1297,508.6352
3.562705,76.32468,84.52667,7.999983,83.38434,112.1607,113.0465,92.14026,502.0363,509.0004
