EL1: Electronic Ladder,A1: Fresh_M,B1: Fresh_F
1.838674,2.450482,3.47661
1.825872,2.284271,3.324554
1.817186,2.260882,3.364064
1.836123,2.266611,3.486742
1.793012,2.251018,3.531315
1.7825,2.343997,3.624467
1.9249,2.292088,3.651799
1.99916,2.161281,3.508249
1.891687,2.079975,3.432508
1.915131,2.016002,3.27848
1.946418,1.924699,3.198295
1.912895,1.710487,3.07816
1.767415,1.626865,3.016004
1.615232,1.613047,2.962047
1.468264,1.543857,2.854838
1.344907,1.460961,2.752054
1.179396,1.278316,2.658875
0.9495754,1.303639,2.554445
0.7550297,1.288704,2.554296
0.6816721,1.274358,2.636552
0.6357079,1.253567,2.696177
0.4503126,1.195647,2.632831
0.3876772,1.287556,2.652906
0.4675207,1.319227,2.610802
0.4860306,1.2723,2.606448
0.439743,1.258853,2.580469
0.3697405,1.266229,2.443657
0.323391,1.279125,2.22208
0.3896036,1.258139,2.198974
0.5059566,1.222187,2.216882
0.4813251,1.149044,2.022782
0.4162445,0.9955406,1.959252
0.5166035,1.005992,1.907777
0.5475368,0.9656286,1.881387
0.434536,0.9182625,1.953642
0.3445463,0.8843431,1.989392
0.2284632,0.8720455,1.948437
0.1239691,0.773921,1.912786
0.05033875,0.8766632,1.969615
0,0.9186268,2.020222
0.02062321,0.9449568,1.9256
0,0.8619995,1.986171
0.06807852,0.8399525,1.871816
0.017869,0.8431501,1.851037
0.06506681,0.8067093,1.88229
0.05646276,0.7353325,1.828449
0,0.6589355,1.782234
0,0.5892906,1.653183
0,0.590395,1.558487
0.09297991,0.5209999,1.531875
0.08575058,0.5522747,1.423858
0.09558344,0.3692579,1.347919
0.292304,0.3712673,1.290848
0.261899,0.4125013,1.242853
0.34232,0.4375334,1.279038
0.1876287,0.3822918,1.245676
0.013515,0.3322105,1.180362
0,0.2921419,1.205108
0.006629467,0.1592188,1.27625
0,0.0248661,1.324354
0,0.03150654,1.336225
0.1435337,0,1.304072
0.2025676,0.1031036,1.258218
0.1801243,0.06651688,1.184633
0.1113133,0.1774435,1.146493
0.0226512,0.2698956,1.064774
0.05610228,0.3508348,0.9998541
0.02582645,0.3267002,1.044962
0,0.3395195,1.051784
0,0.2904329,1.085046
0,0.3004627,1.09784
0.09205103,0.3016386,0.9983883
0.1314468,0.2865648,0.9447327
0.2690439,0.2366858,0.8859711
