EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
18.04222,75.38576,0.9509602,5.864919,678.3181,0,102.7213,0.08230257,0,0.1618066,0,0,0,0.008333206,0,0.3502862
16.84309,81.20542,2.792854,8.049223,694.3206,0,94.43134,0.002201557,0,0.1250296,0,0,0,0,0,0.3743393
16.03548,87.62436,5.003159,11.11471,700.5161,0.7168999,86.23381,0,0,0.04103374,0,0,0,0,0,0.243675
15.28468,94.62451,7.370556,15.11407,696.2709,1.717202,78.49513,0,0,0,0,0.04462528,0,0,0,0.1821039
14.43121,102.0427,9.963211,20.24284,683.2828,3.037429,71.32323,0,0,0.0533638,0,0,0,0,0,0.2136178
13.87171,109.894,12.89957,26.64451,660.6157,4.708343,64.94085,0,0,0,0,0,0.01767159,0,0,0.1182268
13.48894,118.2793,16.03598,34.24908,632.1178,6.807737,59.71196,0,0,0,0,0.007959843,0.04541636,0,0,0.06918335
13.46001,126.9058,19.56933,43.40455,596.0579,9.396236,55.12416,0,0,0,0,0.007938862,0.0064888,0.005219936,0,0.0930419
13.14586,136.3561,23.35674,54.45076,555.1794,12.61782,51.41029,0,0,0,0,0.07293892,0,0,0.07747936,0.04127812
12.79887,146.2189,27.42624,67.31737,511.7272,16.63289,48.54494,0,0,0.005175114,0,0.154778,0,0.001340389,0.3502207,0
12.60898,156.442,31.84945,82.0537,467.0303,21.48656,46.50286,0,0,0,0,0.1787562,0,0,0.6063337,0
12.22836,166.7916,36.74533,98.3837,423.0892,26.97398,44.77637,0,0,0.09785652,0,0.1285677,0,0,0.9297781,0.001640558
11.97549,177.5612,42.21189,116.3448,379.8995,33.49738,43.58792,0,0,0.1450524,0,0.1027145,0,0,1.300165,0
11.68075,188.7863,48.14193,135.9115,339.4554,41.0647,42.65536,0,0,0.1610084,0,0.09097719,0,0,1.67923,0
11.16488,199.5332,54.68759,156.9387,302.1852,49.59502,41.94937,0,0,0.1743336,0,0,0,0,2.081296,0.04042029
10.84782,209.9421,61.94047,178.8024,267.5486,59.03053,41.50989,0,0,0.07738829,0,0,0,0,2.57656,0.08088017
10.45394,219.3631,70.10566,200.9234,236.8231,69.28956,41.27715,0,0,0.0532732,0,0,0,0,3.110106,0.1308897
10.1925,227.439,79.22121,222.87,208.6945,80.61983,41.11458,0,0,0.03469324,0,0,0,0,3.663578,0.1227925
9.845958,234.172,89.34457,244.4086,183.8298,92.67436,41.23422,0,0.07408142,0,0,0,0.3730078,0,4.329205,0
9.430903,238.7634,100.1285,264.1138,162.3929,105.4423,41.50837,0,0.2283411,0.004320621,0.7449894,0.02201939,0.7234488,0,4.88693,0.00592494
9.227633,240.7202,112.1779,281.5315,144.2436,118.6841,42.00996,0.4407492,0.3528032,0,2.300154,0.05276299,1.229744,0,5.492065,0.01715732
8.951421,239.8733,125.5886,296.1937,128.4009,132.265,42.63925,1.238415,0.6294823,0,4.011251,0,1.815567,0,6.149977,0.04959607
