EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
105.8389,61.25486,43.33791,115.2733
124.8385,60.71023,43.3563,112.936
152.2131,60.12867,43.16413,111.0967
188.503,59.3876,43.09152,109.4061
233.4973,58.78322,43.09134,107.825
286.0728,58.07326,43.05923,106.5036
339.0046,57.63977,43.05487,105.3303
386.9084,57.11499,43.14718,104.29
424.165,56.54999,43.1666,103.2771
445.8756,56.04641,43.20249,102.4389
450.1462,55.31185,43.02583,101.3954
438.2472,54.74864,43.08593,100.5409
412.7982,54.12335,42.8871,99.60304
377.4191,53.51989,42.74718,98.70867
337.5124,53.11139,42.84235,97.79364
295.9637,52.54719,42.80572,96.95446
253.5426,52.03419,42.8319,96.2358
215.4013,51.32837,42.80245,95.51203
181.458,50.64634,42.77576,94.82703
152.4125,49.96233,42.74626,94.26595
128.6558,49.29741,42.76927,93.71327
109.6806,48.78232,42.92996,93.28824
94.68867,48.23251,42.84567,92.64894
83.35398,47.57835,42.71123,92.06654
74.50935,46.9651,42.81779,91.30388
67.80062,46.46436,42.71726,90.56751
62.52628,46.03053,42.66174,89.83315
59.22767,45.57101,42.5522,88.94358
56.75893,45.0566,42.46666,88.21366
55.00687,44.5302,42.42055,87.49504
53.52545,44.01604,42.5517,86.95828
52.47616,43.47688,42.63525,86.40217
51.44522,43.03663,42.5704,85.86292
50.72421,42.19118,42.62882,85.15227
49.92419,41.5603,42.76517,84.29404
49.17576,41.10298,42.80043,83.61973
48.30043,40.69817,42.76955,82.83031
48.00196,40.24997,42.78188,82.31027
47.61724,39.6684,42.6913,81.93359
47.07895,39.1905,42.75202,81.42407
46.92889,38.64463,42.77481,80.93395
46.89749,38.16811,42.72633,80.2832
46.92075,37.65849,42.61622,79.5771
47.17645,36.90555,42.67272,78.77433
47.48476,36.46457,42.60897,77.92081
47.87957,35.94786,42.53292,77.12273
48.47378,35.42439,42.42225,76.25641
49.55062,34.89558,42.45793,75.70751
50.41106,34.41603,42.45995,75.11378
51.42236,34.06794,42.39004,74.30843
52.67937,33.71473,42.36184,73.55899
53.67337,33.36451,42.33919,72.77563
54.70521,32.79431,42.30889,72.03955
55.93967,32.38918,42.38279,71.4242
57.09141,31.86694,42.27411,70.51375
58.44881,31.33811,42.19081,69.56303
60.30965,30.77044,42.32439,68.65413
62.52384,30.22248,42.38821,67.73342
64.87007,29.78024,42.39079,66.72591
67.41753,29.33095,42.26887,65.71487
69.9974,28.84021,42.39949,64.72892
72.6283,28.53046,42.32347,63.88824
74.83287,28.03749,42.24604,63.22562
76.90598,27.70651,42.21861,62.55283
78.17733,27.25483,42.03724,61.57494
79.09708,27.04731,42.01434,60.80218
79.85885,26.655,42.02334,59.93465
80.00867,26.21361,41.9494,59.06083
80.23985,25.82843,41.83813,58.15579
79.97934,25.30592,41.82293,57.20839
80.12814,24.76184,41.8452,56.30193
80.21479,24.3651,41.6316,55.5097
80.91386,23.83332,41.46758,54.71965
81.86594,23.47266,41.31469,53.90804
83.06207,23.14316,41.30603,52.91103
85.35784,22.94048,41.42179,52.09404
88.39478,22.66336,41.46703,51.06539
92.76147,22.40572,41.53928,50.03931
100.2734,22.14096,41.4807,49.03048
111.2732,21.75331,41.40966,47.92304
129.5123,21.36729,41.19175,46.97116
159.4942,20.97554,40.8716,46.01017
202.4525,20.56415,40.69806,45.13223
258.2606,20.17121,40.39515,44.31419
